"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"408773643"	"1235624995281350656"	"umraniyebeltr"	2020-03-05 23:25:30
"214522338"	"1237400103150731265"	"bahrip"	2020-03-10 20:59:09
"945381663793713153"	"1236398050173747201"	"istiklal_ak"	2020-03-08 02:37:20
"1077609471252283392"	"1236272198639329280"	"NurglYl14423660"	2020-03-07 18:17:15
"1131312751710756864"	"1236194863512723456"	"Fatmamrek1"	2020-03-07 13:09:57
"91776074"	"1236032416634097664"	"mustafa_crd"	2020-03-07 02:24:27
"1184151146916728832"	"1236011715080466434"	"hakanerdinc34"	2020-03-07 01:02:11
"1182950336832647168"	"1236003574372589571"	"ESMA43188066"	2020-03-07 00:29:50
"2985809014"	"1236003326791241728"	"61Halismert"	2020-03-07 00:28:51
"1182236016968704000"	"1235976542460796928"	"Kadriye41188854"	2020-03-06 22:42:25
"901069298713714688"	"1235970326095331328"	"elif__cnr"	2020-03-06 22:17:43
"587388163"	"1235950446356938755"	"ismailYiiit"	2020-03-06 20:58:43
"1228015931886010368"	"1235948576905277440"	"AbdlkadirAlka10"	2020-03-06 20:51:18
"356846258"	"1235895936741761024"	"yasin_koc55"	2020-03-06 17:22:07
"140603745"	"1235892137029505024"	"vuralilhan"	2020-03-06 17:07:01
"42045834"	"1235865138177007620"	"BrkDru"	2020-03-06 15:19:44
"289473485"	"1235844808138088448"	"SibelCan_92"	2020-03-06 13:58:57
"596376505"	"1235827672057434112"	"smrfndsrc"	2020-03-06 12:50:52
"2762229293"	"1235823041789046785"	"CobanogluDilber"	2020-03-06 12:32:28
"1488704510"	"1235819445617975296"	"yudumciftci"	2020-03-06 12:18:10
"979084708742082560"	"1235814747733250052"	"affan_ozkan"	2020-03-06 11:59:30
"100754295"	"1235808208309997569"	"zaferbayraktar"	2020-03-06 11:33:31
"1087408545736392705"	"1235787975226769408"	"tayfunbaspinarr"	2020-03-06 10:13:07
"3028407130"	"1235719693870260227"	"Emine86526165"	2020-03-06 05:41:48
"993989957852258305"	"1235693450785222657"	"Esra_Mustafa18"	2020-03-06 03:57:31
"1094261783991332864"	"1235685821480660992"	"zeynepkds"	2020-03-06 03:27:12
"1011600693357146113"	"1235676179241279488"	"HsnYog"	2020-03-06 02:48:53
"3796279156"	"1235672251007000576"	"irfan_gulsen"	2020-03-06 02:33:16
"1133749877517762561"	"1235670586170527746"	"SeyfettinARABA2"	2020-03-06 02:26:40
"1199924661527752704"	"1235669096550854666"	"SnFLYaBL3ViLQu7"	2020-03-06 02:20:44
"1030521995769864193"	"1235668672917549056"	"ercelik_sukriye"	2020-03-06 02:19:03
"1759141316"	"1235668651182903296"	"34firas2009"	2020-03-06 02:18:58
"248627004"	"1235667917691383808"	"ayse_merve"	2020-03-06 02:16:03
"838636718807007232"	"1235667255997931520"	"AKdstkUmraniye"	2020-03-06 02:13:26
"1090551737419743232"	"1235665218929414144"	"LdTunceli"	2020-03-06 02:05:20
"4319584455"	"1235664915769196547"	"husna_haznedar"	2020-03-06 02:04:08
"376472489"	"1235664553595281409"	"ETHEMTEKBAS"	2020-03-06 02:02:41
"948596439122407426"	"1235663787014881281"	"mehtapak08"	2020-03-06 01:59:39
"2211492786"	"1235660729308426240"	"mehtap08101972"	2020-03-06 01:47:29
"317275052"	"1235660652431192065"	"saglamyahya"	2020-03-06 01:47:11
"708983256910319616"	"1235658802986471425"	"aygun_mecbure"	2020-03-06 01:39:50
"1077298011657646081"	"1235658113073717248"	"Selimde39300657"	2020-03-06 01:37:06
"2151224113"	"1235656772439990278"	"cgdmtsdmr3444"	2020-03-06 01:31:46
"1023589011670151170"	"1235656125862809600"	"abdullahermis29"	2020-03-06 01:29:12
"478419630"	"1235655002409984000"	"neclaalcelik"	2020-03-06 01:24:44
"546890244"	"1235654082460651520"	"muhammedsorn"	2020-03-06 01:21:05
"2353308096"	"1235654068300910592"	"serkankolat"	2020-03-06 01:21:01
"2243541952"	"1235653086514941957"	"FeyyalUnlu"	2020-03-06 01:17:07
"1604210466"	"1235650154318839808"	"rsl_cntrk"	2020-03-06 01:05:28
"1114487455108009985"	"1235644736645394432"	"vatan_svr61"	2020-03-06 00:43:57
"305603793"	"1235643912292876293"	"telliogluyusuf"	2020-03-06 00:40:40
"1215317280093081606"	"1235637199632297985"	"ramazan63520152"	2020-03-06 00:14:00
"1103390307322916870"	"1235632536665145348"	"bas_sym"	2020-03-05 23:55:28
"1475296550"	"1235631171951669248"	"NYEKELER"	2020-03-05 23:50:02
"1137811802660769793"	"1235631108877955073"	"Melike35293099"	2020-03-05 23:49:47
"902276185215860737"	"1235630469313593346"	"erzahmetdemir"	2020-03-05 23:47:15
"190722917"	"1235629764272152578"	"fagar_1"	2020-03-05 23:44:27
"945013283882455040"	"1235629075835817986"	"Fazl99147766"	2020-03-05 23:41:43
"2736678491"	"1235629033171365892"	"bldiyehaberleri"	2020-03-05 23:41:33
"3325115985"	"1235628679579004928"	"SaymazUmit"	2020-03-05 23:40:08
"1209946186230255616"	"1235628616056217603"	"AKKARABEKR1"	2020-03-05 23:39:53
"2598342436"	"1235628472988569600"	"oguzkaya034"	2020-03-05 23:39:19
"446885367"	"1235628452935602176"	"emre_erkovan"	2020-03-05 23:39:14
"363859348"	"1235628250052923392"	"ufukguzell"	2020-03-05 23:38:26
"1210161426138091525"	"1235628196525195265"	"SMALAK16"	2020-03-05 23:38:13
"812880259"	"1235628036583800838"	"metincakmakk"	2020-03-05 23:37:35
"988422098"	"1235627954681663493"	"yavuzacar251"	2020-03-05 23:37:15
"946091528463814656"	"1235627925220847617"	"sakgul29"	2020-03-05 23:37:08
"1191765229744611329"	"1235627923111137281"	"Tercan54624229"	2020-03-05 23:37:08
"1067041490810150912"	"1235627806417195010"	"ismetyildirimtr"	2020-03-05 23:36:40
"912332474948231169"	"1235627465873256448"	"ErmanYaln6"	2020-03-05 23:35:19
"1064834661837430784"	"1235625742354051072"	"SultanGcyener2"	2020-03-05 23:28:28
"2252462290"	"1235625137820422144"	"AhmtGzl_"	2020-03-05 23:26:04
"357615231"	"1235625118317101056"	"spawnkabus"	2020-03-05 23:25:59
