"remaining_sg_ID"	"remaining_sg_UN"
"2147749255"	"v2saturn"
"264930170"	"stefaniemeier91"
"761580352955621376"	"MambaMike13"
"1158550998622846977"	"maryleineelf"
"1100038349778284544"	"pedro40394027"
"1046967071702245376"	"MRadousch"
"1852059997"	"KenzoSuai"
"1210595614741807104"	"Latihanlisteni2"
"703451635"	"jruizivan"
"913417670"	"ulisesolvera4"
"1065974449"	"ssenthgir"
"1092361259054481413"	"LandolfThore"
"2635049677"	"lilla720"
"316816324"	"Tony_nch"
"3034883817"	"AAAquaponics"
"2830160331"	"Jose89_B"
"1077570816051679232"	"cesiocausacanc1"
"1222973880547102720"	"Sqcol1"
"990784865686536192"	"MarthaR94546872"
"2704625110"	"deablosantos"
"276074788"	"Marko010583"
