"userIDs"	"statusIDs"	"retweeters"	"timestamps"
"1270489357208649728"	"1324634794983043072"	"CottoGottfried"	2020-11-06 14:18:40
"2957410509"	"1324725852349861889"	"Merricadence"	2020-11-06 20:20:30
"2577053906"	"1324725101829369857"	"luigi_warren"	2020-11-06 20:17:31
"24524057"	"1324670745348251648"	"coallb"	2020-11-06 16:41:31
"885757147"	"1324657251987148800"	"ritzasc"	2020-11-06 15:47:54
"265670293"	"1324653801056460801"	"jcool888"	2020-11-06 15:34:11
"69155751"	"1324650859255472134"	"El_Duende1"	2020-11-06 15:22:30
"1265769542908874752"	"1324648928856338432"	"Cowboy8885"	2020-11-06 15:14:50
"1109532876310302721"	"1324647994671718407"	"donkamion78"	2020-11-06 15:11:07
"1221625978222305280"	"1324640512653979648"	"JpHarrah67"	2020-11-06 14:41:23
"837931647165214720"	"1324638190557429761"	"selukproperty"	2020-11-06 14:32:09
"1067873015105490944"	"1324638164074594305"	"PatrikHerman4"	2020-11-06 14:32:03
"428645072"	"1324638147733540871"	"El_Pumper"	2020-11-06 14:31:59
"17752208"	"1324637638192746498"	"MrsKinder"	2020-11-06 14:29:58
"1311145810667745281"	"1324635584816709632"	"LudicrousHilar1"	2020-11-06 14:21:48
"832268508604010497"	"1324634987354836992"	"princeofdoges"	2020-11-06 14:19:26
