"remaining_sg_ID"	"remaining_sg_UN"
"1326551522394583040"	"a17time"
"747575815563546624"	"mypatriotheart"
"813957599485796352"	"MAGALisaHartz"
"1272236011456729088"	"BettinaSchulz16"
"900432499708485632"	"Sanitynow778"
"1298324831776264192"	"BigDick44398433"
"267396495"	"dinkstink09"
"62385230"	"LaCakemaker1"
"1260621544386068480"	"TomZeller5"
"1273834771404263431"	"OlafPester"
"926889865639276545"	"DianaBr59835866"
"1239809757935996929"	"chaofang18"
"954211543478026240"	"soapboxpatriot4"
"1322969979684327428"	"Chefmaddie2020"
"1294898886545272832"	"BPlandemic"
"1290830955477950464"	"weareone_333"
"42601226"	"carolinasilvabi"
"1271544867055980544"	"rannbci4"
"1313652670117416961"	"roberto64909631"
"791603850989805572"	"UwriyelMag"
"818623996430323712"	"ymcatammy1"
"914681823006994432"	"apiainnsamoa"
"1658095146"	"MarciaAZ16"
"855134090382770176"	"GigiPraying"
"1250028958046920705"	"MiniMax58614267"
"533437725"	"teapartyjeannie"
"37066992"	"stormmy2217"
"782226452209020929"	"mitchhancock01"
"109062835"	"4HISppl"
"1340195799100100608"	"Pinkie37955441"
"2337311486"	"PawlakRyan48"
"1335826755400024064"	"RiseofDavid1"
"127051252"	"Merlin215"
"1291474635972698112"	"Pray_4_Justice"
"941471932872101888"	"BobTheArcher50"
"1268976635195334656"	"DMomapatriot"
"1257312023324422145"	"CDeeA1"
"885746994"	"MillwoodGeorgia"
"1076858827365146626"	"Rae53123364"
"312979593"	"tasimonson"
"598313113"	"deosgood"
"1301339882976153600"	"SchivonneLamati"
"477098989"	"andy5218"
"1189694226"	"cindyc989"
"815605037250514944"	"sandersonwillis"
"1135272120211136513"	"JahnsAnja"
"936365292942430209"	"Delilah14620251"
"1312422472831119366"	"ghost7964"
"1303901378650218496"	"MerfoH"
"1153468721903624192"	"SherriSchuette1"
"38684678"	"WyoFreedomMan"
"433994334"	"JimMcFierceSon"
"4214394615"	"lizrod87"
"1098184637606547456"	"lynettemenzies"
"1166095185874259968"	"GDB_BC"
"1244587857630703617"	"thinqfree"
"1339896829232766977"	"BlockchainGuer1"
"109377164"	"fraggdya"
"22253184"	"tucsonfirebird"
"1166805630193143814"	"BreakoutTradin1"
"1326756019553230848"	"mlsk8r87"
"1071590571268034560"	"SheliaGore1"
"483325816"	"AlecPt17"
"540562666"	"net11e"
