"","Graph_Name","n_nodes","n_TS_edges","n_netw_edges","n_comps","n_isolated"
"1","GraphInfo 1 1336842821718978560 .txt","65","5","87","6","5"
"2","GraphInfo 10 1335391615301672966 .txt","27","7","21","8","6"
"3","GraphInfo 100 1336060481283399681 .txt","85","0","538","1","0"
"4","GraphInfo 101 1336421699345141760 .txt","20","5","19","6","5"
"5","GraphInfo 102 1336175824496627712 .txt","46","32","13","33","29"
"6","GraphInfo 103 1335997247297904645 .txt","37","1","345","2","1"
"7","GraphInfo 104 1335012797478916096 .txt","80","3","483","4","3"
"8","GraphInfo 105 1333962369597382658 .txt","27","2","25","3","2"
"9","GraphInfo 106 1336725895013421057 .txt","33","1","41","2","1"
"10","GraphInfo 107 1337183930940846081 .txt","44","16","29","17","16"
"11","GraphInfo 108 1336530463561834500 .txt","42","0","68","1","0"
"12","GraphInfo 109 1337258178656944128 .txt","96","7","213","8","7"
"13","GraphInfo 11 1334724517109714944 .txt","44","21","46","22","21"
"14","GraphInfo 110 1337196671118290946 .txt","57","1","90","2","1"
"15","GraphInfo 111 1335416584425381889 .txt","15","3","11","4","3"
"16","GraphInfo 112 1333778630669950977 .txt","53","0","845","1","0"
"17","GraphInfo 113 1333940074468184065 .txt","60","0","465","1","0"
"18","GraphInfo 114 1334122963759747072 .txt","22","2","60","3","2"
"19","GraphInfo 115 1335974009629007872 .txt","42","0","63","1","0"
"20","GraphInfo 116 1337439629880881153 .txt","44","5","99","6","5"
"21","GraphInfo 117 1337522306688708614 .txt","60","31","36","32","30"
"22","GraphInfo 118 1335320607119040513 .txt","17","15","1","16","15"
"23","GraphInfo 119 1335769272266747904 .txt","26","1","28","2","1"
"24","GraphInfo 12 1334691151887040517 .txt","60","18","56","19","17"
"25","GraphInfo 120 1335697082968104965 .txt","56","2","120","3","2"
"26","GraphInfo 121 1336046777024339975 .txt","58","17","77","18","17"
"27","GraphInfo 122 1336039106325856257 .txt","25","22","2","23","22"
"28","GraphInfo 123 1336773543829397504 .txt","39","33","5","34","32"
"29","GraphInfo 124 1337816665820684291 .txt","90","4","550","5","4"
"30","GraphInfo 125 1330961219331760128 .txt","47","3","368","4","3"
"31","GraphInfo 126 1338906357294985217 .txt","48","3","266","4","3"
"32","GraphInfo 127 1338977188163563523 .txt","17","0","32","1","0"
"33","GraphInfo 128 1338901629865693184 .txt","36","0","164","1","0"
"34","GraphInfo 129 1338726028911448064 .txt","23","0","93","1","0"
"35","GraphInfo 13 1336407146238394368 .txt","25","0","27","1","0"
"36","GraphInfo 130 1338657006647988227 .txt","33","0","199","1","0"
"37","GraphInfo 131 1338725351472685057 .txt","25","0","120","1","0"
"38","GraphInfo 132 1339647296993169409 .txt","66","0","74","1","0"
"39","GraphInfo 133 1335722595929497604 .txt","25","1","36","2","1"
"40","GraphInfo 134 1335711867805736961 .txt","31","1","34","2","1"
"41","GraphInfo 135 1335683984630501377 .txt","77","0","219","1","0"
"42","GraphInfo 136 1335682880945745920 .txt","34","0","125","1","0"
"43","GraphInfo 137 1335661089921576962 .txt","39","1","41","2","1"
"44","GraphInfo 138 1335658123164491777 .txt","22","0","26","1","0"
"45","GraphInfo 139 1335648632058630149 .txt","17","0","24","1","0"
"46","GraphInfo 14 1336709055583154176 .txt","58","0","307","1","0"
"47","GraphInfo 140 1335643052812115975 .txt","27","0","58","1","0"
"48","GraphInfo 141 1335637673923530753 .txt","38","0","218","1","0"
"49","GraphInfo 142 1326901119835103232 .txt","18","0","19","1","0"
"50","GraphInfo 143 1326787760024326152 .txt","32","1","38","2","1"
"51","GraphInfo 144 1326957010332639238 .txt","84","7","133","8","7"
"52","GraphInfo 145 1326948472742965251 .txt","21","0","45","1","0"
"53","GraphInfo 146 1326934174742306816 .txt","21","2","22","3","2"
"54","GraphInfo 147 1324808185346220035 .txt","32","0","115","1","0"
"55","GraphInfo 148 1324807525942919169 .txt","21","0","55","1","0"
"56","GraphInfo 149 1324634794983043072 .txt","16","1","14","2","1"
"57","GraphInfo 15 1334979024720945153 .txt","40","5","38","6","5"
"58","GraphInfo 150 1324591089823715328 .txt","37","0","117","1","0"
"59","GraphInfo 151 1326198267143618561 .txt","89","2","114","3","2"
