,graph,GEPA, EPA,EPA_LW,RI,DA ,MDL,PBSI
1,Labeled_UG_IG_GraphInfo 1 1275899703700291584 .txt.RData.RData.RData,0,0,0,0,0,3,2
2,Labeled_UG_IG_GraphInfo 10 1254478882683699200 .txt.RData.RData.RData,1,0,1,1,0,3,2
3,Labeled_UG_IG_GraphInfo 100 1271963436969349120 .txt.RData.RData.RData,6,10,10,10,26,26,8
4,Labeled_UG_IG_GraphInfo 101 1228995197800984576 .txt.RData.RData.RData,1,1,1,1,1,3,2
5,Labeled_UG_IG_GraphInfo 102 1237301973319376896 .txt.RData.RData.RData,0,0,0,0,0,2,1
6,Labeled_UG_IG_GraphInfo 103 1246333065779167232 .txt.RData.RData.RData,0,0,0,0,0,2,0
7,Labeled_UG_IG_GraphInfo 105 1248530581375160320 .txt.RData.RData.RData,0,0,0,0,0,2,1
8,Labeled_UG_IG_GraphInfo 106 1240414339733114880 .txt.RData.RData.RData,0,2,2,1,16,16,9
9,Labeled_UG_IG_GraphInfo 107 1254327045019951104 .txt.RData.RData.RData,3,3,3,3,4,10,9
10,Labeled_UG_IG_GraphInfo 108 1254381115307102208 .txt.RData.RData.RData,1,12,12,12,1,10,5
11,Labeled_UG_IG_GraphInfo 109 1252665096859459584 .txt.RData.RData.RData,0,0,0,0,0,2,2
12,Labeled_UG_IG_GraphInfo 11 1261720246592757760 .txt.RData.RData.RData,0,1,2,1,0,2,1
13,Labeled_UG_IG_GraphInfo 110 1247848924980957184 .txt.RData.RData.RData,2,2,2,2,1,8,7
14,Labeled_UG_IG_GraphInfo 111 1246987975298134016 .txt.RData.RData.RData,0,0,0,0,2,2,0
15,Labeled_UG_IG_GraphInfo 112 1235975325923844096 .txt.RData.RData.RData,0,1,1,1,0,5,4
16,Labeled_UG_IG_GraphInfo 113 1238403140707397632 .txt.RData.RData.RData,1,0,0,1,1,3,2
17,Labeled_UG_IG_GraphInfo 114 1235462250376253440 .txt.RData.RData.RData,0,0,0,0,0,3,2
18,Labeled_UG_IG_GraphInfo 115 1235641456267800576 .txt.RData.RData.RData,0,0,0,0,0,2,1
19,Labeled_UG_IG_GraphInfo 116 1224000504843264000 .txt.RData.RData.RData,0,2,2,2,2,7,6
20,Labeled_UG_IG_GraphInfo 117 1223343688400527360 .txt.RData.RData.RData,4,4,5,4,4,3,2
21,Labeled_UG_IG_GraphInfo 118 1221791160521363456 .txt.RData.RData.RData,0,1,1,1,0,4,3
22,Labeled_UG_IG_GraphInfo 119 1252262834332930048 .txt.RData.RData.RData,0,0,0,0,0,4,3
23,Labeled_UG_IG_GraphInfo 12 1250524724905426944 .txt.RData.RData.RData,0,0,0,0,0,4,3
24,Labeled_UG_IG_GraphInfo 120 1251909895089250304 .txt.RData.RData.RData,0,0,0,0,3,2,0
25,Labeled_UG_IG_GraphInfo 121 1247178073700814848 .txt.RData.RData.RData,0,0,0,0,0,3,2
26,Labeled_UG_IG_GraphInfo 122 1234860117532774400 .txt.RData.RData.RData,0,1,1,1,1,6,5
27,Labeled_UG_IG_GraphInfo 123 1227587755435274240 .txt.RData.RData.RData,0,0,0,0,0,2,1
28,Labeled_UG_IG_GraphInfo 124 717454137160503296 .txt.RData.RData.RData,1,1,1,0,1,1,1
29,Labeled_UG_IG_GraphInfo 125 1252330402687053824 .txt.RData.RData.RData,0,0,0,0,0,2,1
30,Labeled_UG_IG_GraphInfo 126 1219478544041930752 .txt.RData.RData.RData,0,1,1,0,0,6,5
31,Labeled_UG_IG_GraphInfo 127 1241427318633086976 .txt.RData.RData.RData,0,1,1,0,0,2,3
32,Labeled_UG_IG_GraphInfo 128 1242526600962269184 .txt.RData.RData.RData,0,0,0,0,0,2,0
33,Labeled_UG_IG_GraphInfo 129 1247947316532830208 .txt.RData.RData.RData,0,0,0,0,0,4,3
34,Labeled_UG_IG_GraphInfo 13 1226922738935353344 .txt.RData.RData.RData,0,1,1,1,1,7,0
35,Labeled_UG_IG_GraphInfo 130 1241925826171539456 .txt.RData.RData.RData,0,0,0,0,0,3,2
36,Labeled_UG_IG_GraphInfo 14 1260637443344171008 .txt.RData.RData.RData,1,1,1,1,0,6,5
