,graph,shift_list_actual,GEPA shift_list_estimated, EPA shift_list_estimated,EPA_LW shift_list_estimated,RI shift_list_estimated,DA shift_list_estimated,MDL shift_list_estimated,PBSI shift_list_estimated
1,Labeled_UG_IG_GraphInfo 1 1336842821718978560 .txt.RData.RData.RData,1,1,0,0,0,1,3,2
2,Labeled_UG_IG_GraphInfo 10 1335391615301672966 .txt.RData.RData.RData,2,1,0,0,0,1,4,3
3,Labeled_UG_IG_GraphInfo 100 1336060481283399681 .txt.RData.RData.RData,1,1,1,0,0,1,2,1
4,Labeled_UG_IG_GraphInfo 101 1336421699345141760 .txt.RData.RData.RData,1,1,0,0,0,1,3,2
5,Labeled_UG_IG_GraphInfo 102 1336175824496627712 .txt.RData.RData.RData,11,0,0,0,0,11,11,10
6,Labeled_UG_IG_GraphInfo 103 1335997247297904645 .txt.RData.RData.RData,0,0,0,0,0,0,1,0
7,Labeled_UG_IG_GraphInfo 104 1335012797478916096 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
8,Labeled_UG_IG_GraphInfo 105 1333962369597382658 .txt.RData.RData.RData,0,0,0,0,0,1,1,0
9,Labeled_UG_IG_GraphInfo 106 1336725895013421057 .txt.RData.RData.RData,1,0,0,0,0,0,2,0
10,Labeled_UG_IG_GraphInfo 107 1337183930940846081 .txt.RData.RData.RData,1,1,0,0,0,0,5,6
11,Labeled_UG_IG_GraphInfo 108 1336530463561834500 .txt.RData.RData.RData,1,1,0,0,0,1,2,1
12,Labeled_UG_IG_GraphInfo 109 1337258178656944128 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
13,Labeled_UG_IG_GraphInfo 11 1334724517109714944 .txt.RData.RData.RData,1,1,0,0,0,1,5,3
14,Labeled_UG_IG_GraphInfo 110 1337196671118290946 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
15,Labeled_UG_IG_GraphInfo 111 1335416584425381889 .txt.RData.RData.RData,0,0,0,0,0,2,1,0
16,Labeled_UG_IG_GraphInfo 112 1333778630669950977 .txt.RData.RData.RData,0,0,0,0,0,0,1,1
17,Labeled_UG_IG_GraphInfo 113 1333940074468184065 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
18,Labeled_UG_IG_GraphInfo 114 1334122963759747072 .txt.RData.RData.RData,0,0,0,0,0,0,2,1
19,Labeled_UG_IG_GraphInfo 115 1335974009629007872 .txt.RData.RData.RData,0,0,0,0,0,1,1,0
20,Labeled_UG_IG_GraphInfo 116 1337439629880881153 .txt.RData.RData.RData,1,1,0,0,0,1,3,2
21,Labeled_UG_IG_GraphInfo 117 1337522306688708614 .txt.RData.RData.RData,1,1,0,0,0,1,5,4
22,Labeled_UG_IG_GraphInfo 118 1335320607119040513 .txt.RData.RData.RData,2,0,0,0,0,8,8,7
23,Labeled_UG_IG_GraphInfo 119 1335769272266747904 .txt.RData.RData.RData,1,0,0,0,0,0,1,0
24,Labeled_UG_IG_GraphInfo 12 1334691151887040517 .txt.RData.RData.RData,4,4,0,0,0,4,1,8
25,Labeled_UG_IG_GraphInfo 120 1335697082968104965 .txt.RData.RData.RData,0,0,0,0,0,0,2,0
26,Labeled_UG_IG_GraphInfo 121 1336046777024339975 .txt.RData.RData.RData,1,0,0,0,0,0,5,4
